label,superclass_taxo_20,superclass_morpho_23,superclass_taxo_30,superclass_ecotaxa_20,count,lineage
Actinopterygii,Actinopterygii,fusiform_opaque_no-appendages,Actinopterygii,Actinopterygii,108,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii
Alciopidae,Annelida,elongated_semi-opaque_no-appendages,Annelida,otherliving,63,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida>Polychaeta>Errantia>Alciopidae
Amphipoda,Eumalacostraca,fusiform_semi-opaque_no-appendages,Amphipoda,otherliving,180,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Malacostraca>Eumalacostraca>Amphipoda
Annelida,Annelida,elongated_semi-opaque_no-appendages,Annelida,otherliving,106,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida
Appendicularia,Appendicularia,elongated_transparent_no-appendages,Appendicularia,Appendicularia,144,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Tunicata>Appendicularia
Aulacanthidae,Rhizaria,sphere_semi-opaque_no-appendages,Phaeodaria,Aulacanthidae,277,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeocystida>Aulacanthidae
Aulatractus,Rhizaria,fusiform_transparent_no-appendages,Phaeodaria,Rhizaria,98,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Aulosphaeridae>Aulatractus
Aulosphaeridae,Rhizaria,sphere_transparent_no-appendages,Phaeodaria,Rhizaria,350,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Aulosphaeridae
Botrynema,non_siphonophoran_hydrozoa,sphere_transparent_appendages,non_siphonophoran_hydrozoa,otherliving,41,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Trachylinae>Trachymedusae>Halicreatidae>Botrynema
Brachyura,Eumalacostraca,sphere_opaque_appendages,non_amphipoda_eumalacostraca,otherliving,10,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Malacostraca>Eumalacostraca>Decapoda>Pleocyemata>Brachyura
Calanidae,Copepoda,ellipsoide_semi-opaque_appendages,Copepoda,Calanoida,877,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Calanidae
Calanoida,Copepoda,ellipsoide_semi-opaque_appendages,Copepoda,Calanoida,13403,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida
Cavolinia inflexa,Mollusca,triangle_semi-opaque_no-appendages,Mollusca,otherliving,66,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Euopisthobranchia>Thecosomata>Cavoliniidae>Cavolinia>Cavolinia inflexa
Cavoliniidae,Mollusca,triangle_semi-opaque_no-appendages,Mollusca,otherliving,18,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Euopisthobranchia>Thecosomata>Cavoliniidae
Chaetognatha,Chaetognatha,elongated_transparent_no-appendages,Chaetognatha,Chaetognatha,530,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chaetognatha
Coelodendridae,Rhizaria,sphere_semi-opaque_appendages,Phaeodaria,Rhizaria,110,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae
Coelographis,Rhizaria,triangle_semi-opaque_no-appendages,Phaeodaria,Rhizaria,55,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae>Coelographis
Collodaria,Rhizaria,sphere_transparent_no-appendages,Collodaria,Collodaria,607,living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria
Copepoda,Copepoda,ellipsoide_semi-opaque_appendages,Copepoda,Calanoida,6069,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda
Creseidae,Mollusca,triangle_transparent_no-appendages,Mollusca,Creseis,26,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Euopisthobranchia>Thecosomata>Creseidae
Creseis acicula,Mollusca,elongated_transparent_no-appendages,Mollusca,Creseis,153,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Euopisthobranchia>Thecosomata>Creseidae>Creseis>Creseis acicula
