object_annotation_category,taxon_level1,taxon_level2,Amanda_category1,Amanda_category2,merging_after_prediction,superclass,count,
Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,108,
Aeginidae,Narcomedusae,Trachylina,Aeginidae,,Aeginidae,otherliving,4,
Alciopidae,Annelida,Annelida,Alciopidae,Alciopidae,Alciopidae,otherliving,63,
Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,otherliving,180,
Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,otherliving,106,
Appendicularia,Appendicularia,Appendicularia,Appendicularia,Appendicularia,Appendicularia,Appendicularia,144,
Atolla,other<Cnidaria,Cnidaria,Atolla,,Atolla,otherliving,6,
Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,277,
Aulatractus,Aulatractus,Aulosphaeridae,Aulatractus,Aulatractus,Aulatractus,Rhizaria,98,
Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,Rhizaria,350,
Botrynema,Trachymedusae,Trachylina,Botrynema,Botrynema,Botrynema,otherliving,41,
Brachyura,Eumalacostraca,Eumalacostraca,Brachyura,,Brachyura,otherliving,10,
Calanidae,Calanidae,Copepoda,Calanidae,Calanidae,Calanidae,Calanoida,877,
Calanoida,Calanoida,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,13343,
Cannosphaeridae,Rhizaria,Rhizaria,Cannosphaeridae,,Cannosphaeridae,Rhizaria,2,
Cavolinia inflexa,Thecosomata,Mollusca,Cavolinia inflexa,Cavolinia inflexa,Cavolinia inflexa,otherliving,66,
Cavoliniidae,Thecosomata,Mollusca,Cavoliniidae,,Cavoliniidae,otherliving,18,
Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,530,
Cliidae,Thecosomata,Mollusca,Cliidae,,Cliidae,otherliving,6,
Clionidae,Thecosomata,Mollusca,Clionidae,,Clionidae,otherliving,4,
Coelodendridae,Coelodendridae,Coelodendridae,Coelodendridae,Coelodendridae,Coelodendridae,Rhizaria,110,
Coelographis,Coelodendridae,Coelodendridae,Coelographis,Coelographis,Coelographis,Rhizaria,55,
Collodaria,Collodaria,Collodaria,Collodaria,Collodaria,Collodaria,Collodaria,607,
Copepoda<Maxillopoda,Copepoda,Copepoda,Copepoda,Copepoda,Copepoda,Calanoida,6069,
Creseidae,Thecosomata,Mollusca,Creseidae,Creseidae,Creseidae,Creseis,26,
Creseis acicula,Creseis acicula,Mollusca,Creseis acicula,Creseis acicula,Creseis acicula,Creseis,153,
Creseis virgula,Thecosomata,Mollusca,Creseis virgula,,Creseis virgula,Creseis,3,
Crustacea,other<living,other<living,Crustacea,Crustacea,Crustacea,otherliving,27,
Ctenophora<Metazoa,Ctenophora,Ctenophora,Ctenophora,Ctenophora,Ctenophora,otherliving,195,
Diacria trispinosa,Thecosomata,Mollusca,Diacria trispinosa,,Diacria trispinosa,otherliving,1,
Euchaetidae,Calanoida,Copepoda,Euchaetidae,,Euchaetidae,Calanoida,17,
Eukrohnia,Chaetognatha,Chaetognatha,Eukrohnia,,Eukrohnia,Chaetognatha,18,
Eumalacostraca,Eumalacostraca,Eumalacostraca,Eumalacostraca,Eumalacostraca,Eumalacostraca,otherliving,1256,
Euphausiacea,Eumalacostraca,Eumalacostraca,Euphausiacea,Euphausiacea,Euphausiacea,otherliving,23,
Foraminifera,Foraminifera,Foraminifera,Foraminifera,Foraminifera,Foraminifera,Foraminifera,176,
Halicreatidae,Trachymedusae,Trachylina,Halicreatidae,,Halicreatidae,otherliving,8,
Hydrozoa,other<Cnidaria,Cnidaria,Hydrozoa,Hydrozoa,Hydrozoa,otherliving,351,
Hyperiidea,Hyperiidea,Amphipoda,Hyperiidea,Hyperiidea,Hyperiidea,otherliving,68,
Leptothecata,other<Cnidaria,Cnidaria,Leptothecata,,Leptothecata,otherliving,3,
Limacinidae,Thecosomata,Mollusca,Limacinidae,Limacinidae,Limacinidae,otherliving,42,
Medusettidae,Rhizaria,Rhizaria,Medusettidae,Medusettidae,Medusettidae,Rhizaria,31,
Narcomedusae,Narcomedusae,Trachylina,Narcomedusae,Narcomedusae,Narcomedusae,otherliving,75,
Ostracoda,Ostracoda,Ostracoda,Ostracoda,Ostracoda,Ostracoda,otherliving,535,
Ostracoda,other<living,other<living,Ostracoda,Ostracoda,Ostracoda,otherliving,4,
Paraphyllina,other<Cnidaria,Cnidaria,Paraphyllina,,Paraphyllina,otherliving,6,
Periphylla periphylla,other<Cnidaria,Cnidaria,Periphylla periphylla,,Periphylla periphylla,otherliving,19,
Phronimidae,Hyperiidea,Amphipoda,Phronimidae,,Phronimidae,otherliving,1,
Phyllodocida,Phyllodocida,Annelida,Phyllodocida,Phyllodocida,Phyllodocida,otherliving,116,
Physonectae,Siphonophorae,Siphonophorae,Physonectae,,Physonectae,otherliving,1,
Physophora,Siphonophorae,Siphonophorae,Physophora,,Physophora,otherliving,3,
Poeobius,Annelida,Annelida,Poeobius,Poeobius,Poeobius,otherliving,34,
Pyrosomatida,other<living,other<living,Pyrosomatida,,Pyrosomatida,otherliving,5,
Rhizaria,Rhizaria,Rhizaria,Rhizaria,Rhizaria,Rhizaria,Rhizaria,1982,
Salpida,Salpida,Salpida,Salpida,Salpida,Salpida,Salpida,207,
Scinidae,Hyperiidea,Amphipoda,Scinidae,,Scinidae,otherliving,19,
Scyphozoa,other<Cnidaria,Cnidaria,Scyphozoa,,Scyphozoa,otherliving,15,
Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae,otherliving,114,
Solmundella bitentaculata,Narcomedusae,Trachylina,Solmundella bitentaculata,Solmundella bitentaculata,Solmundella bitentaculata,otherliving,32,
Swima,Swima,Annelida,Swima,Swima,Swima,otherliving,221,
Thecosomata,Thecosomata,Mollusca,Thecosomata,,Thecosomata,otherliving,17,
Tomopteridae,Annelida,Annelida,Tomopteridae,Tomopteridae,Tomopteridae,otherliving,41,
Trachymedusae,Trachymedusae,Trachylina,Trachymedusae,Trachymedusae,Trachymedusae,otherliving,36,
Tuscaroridae,Rhizaria,Rhizaria,Tuscaroridae,,Tuscaroridae,Rhizaria,5,
antenna<Calanoida,detritus,detritus,antenna<Calanoida,antenna<Calanoida,antenna<Calanoida,Calanoida,338,
artefact,artefact,artefact,artefact,artefact,artefact,artefact,30095,
bubble,artefact,artefact,bubble,bubble,bubble,artefact,44,
chain<Cyclosalpa bakeri,chain<Salpida,Salpida,chain<Cyclosalpa bakeri,,chain<Cyclosalpa bakeri,Salpida,6,
chain<Salpida,chain<Salpida,Salpida,chain<Salpida,chain<Salpida,chain<Salpida,Salpida,147,
cloud,cloud,Collodaria,cloud,cloud,cloud,Collodaria,242,
colonial<Aulacanthidae,Aulacanthidae,Aulacanthidae,colonial<Aulacanthidae,,colonial<Aulacanthidae,Aulacanthidae,2,
colonial<Aulatractus,Aulatractus,Aulosphaeridae,colonial<Aulatractus,,colonial<Aulatractus,Rhizaria,5,
colonial<Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,colonial<Aulosphaeridae,,colonial<Aulosphaeridae,Rhizaria,10,
colonial<Coelodendridae,Coelodendridae,Coelodendridae,colonial<Coelodendridae,,colonial<Coelodendridae,Rhizaria,36,
colonial<Collodaria,Collodaria,Collodaria,colonial<Collodaria,,colonial<Collodaria,Collodaria,4,
colonial<Rhizaria,Rhizaria,Rhizaria,colonial<Rhizaria,,colonial<Rhizaria,Rhizaria,8,
copepoda eggs,copepoda_eggs,Copepoda,copepoda eggs,copepoda eggs,copepoda eggs,Calanoida,190,
crystal,crystal,crystal,crystal,crystal,crystal,artefact,3770,
darksphere,darksphere,other<living,darksphere,darksphere,darksphere,otherliving,340,
dead<house,dead<house,Appendicularia,dead<house,dead<house,dead<house,Appendicularia,900,
detritus,detritus,detritus,detritus,detritus,detritus,detritus,504634,
echinopluteus,Echinodermata,Echinodermata,echinopluteus,echinopluteus,echinopluteus,otherliving,22,
egg sac<egg,other<living,other<living,egg sac<egg,egg sac<egg,egg sac<egg,otherliving,72,
fiber<detritus,fiber,fiber,fiber,fiber,fiber,fiber,32524,
filament<detritus,filament,filament,filament,filament,filament,filament,3306,
fuzzy,fuzzy,Acantharia,fuzzy,fuzzy,fuzzy,Acantharia,184,
larvae<Echinodermata,Echinodermata,Echinodermata,larvae<Echinodermata,,larvae<Echinodermata,otherliving,12,
like<Copepoda,like<Copepoda,Copepoda,like<Copepoda,like<Copepoda,like<Copepoda,Calanoida,2712,
multiple<other,other<living,other<living,other<living,other<living,other<living,otherliving,19,
ophiopluteus,Echinodermata,Echinodermata,ophiopluteus,ophiopluteus,ophiopluteus,otherliving,70,
othertocheck,other<living,other<living,other<living,other<living,other<living,otherliving,1318,
puff,puff,Trichodesmium,puff,puff,puff,puff,7427,
reflection,reflection,reflection,reflection,reflection,reflection,artefact,2750,
rhizaria like,like<Rhizaria,Rhizaria,like<Rhizaria,like<Rhizaria,like<Rhizaria,Rhizaria,509,
small-bell<Hydrozoa,small<Cnidaria,Cnidaria,small<Cnidaria,small<Cnidaria,small<Cnidaria,small_Cnidaria,908,
solitaryblack,solitaryblack,Collodaria,solitaryblack,solitaryblack,solitaryblack,Rhizaria,149,
solitaryglobule,solitaryglobule,Collodaria,solitaryglobule,solitaryglobule,solitaryglobule,solitaryglobule,245,
spiky<Acantharia,spiky<Acantharia,Acantharia,spiky<Acantharia,spiky<Acantharia,spiky<Acantharia,Acantharia,201,
spiky<Coelodendridae,spiky<Coelodendridae,Coelodendridae,spiky<Coelodendridae,spiky<Coelodendridae,spiky<Coelodendridae,Rhizaria,108,
star<Acantharia,star<Acantharia,Acantharia,star<Acantharia,star<Acantharia,star<Acantharia,Acantharia,411,
star<Coelodendridae,Coelodendridae,Coelodendridae,star<Coelodendridae,,star<Coelodendridae,Rhizaria,4,
t001,detritus,detritus,other<living,other<living,other<living,otherliving,17,other<living
t002,Calanoida,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,55,
t003,Calanoida,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,5,
t004,t004,t004,t004,t004,t004,otherliving,249,
t007,detritus,detritus,other<living,other<living,other<living,otherliving,8,other<living
t009,other<living,other<living,other<living,other<living,other<living,otherliving,9,
t010,other<living,other<living,other<living,other<living,other<living,otherliving,19,
t011,t011,t011,other<living,other<living,other<living,otherliving,103,other<living
t012,other<living,other<living,other<living,other<living,other<living,otherliving,37,
t013,other<living,other<living,other<living,other<living,other<living,otherliving,12,
t014,other<living,other<living,other<living,other<living,other<living,otherliving,4,
t016,other<living,other<living,other<living,other<living,other<living,otherliving,2,
t018,other<living,other<living,other<living,other<living,other<living,otherliving,24,
t020,reflection,reflection,reflection,reflection,reflection,artefact,1842,
tentacle<Cnidaria,detritus,detritus,tentacle<Cnidaria,tentacle<Cnidaria,tentacle<Cnidaria,otherliving,371,
tentacle<Ctenophora,detritus,detritus,tentacle<Ctenophora,tentacle<Ctenophora,tentacle<Ctenophora,otherliving,42,
tetrazoid,other<living,other<living,tetrazoid,,tetrazoid,otherliving,6,
tornaria larvae,other<living,other<living,tornaria larvae,,tornaria larvae,otherliving,3,
tuff,tuff,Trichodesmium,tuff,tuff,tuff,tuff,4863,
veliger,other<living,other<living,veliger,,veliger,otherliving,11,
